Thaw Number,YPC Number,YPC Component,Thaw Name,YPC Name,BD Number,Thaw RA1900,Thaw Dec1900,YPC RA1900,YPC Dec1900,RA1950,Dec1950,RA2000,Dec2000,Thaw B,YPC (B-V),YPC V,Thaw Spectrum,YPC Spectrum,Thaw Rel. Parallax,Thaw Rel. Parallax Error,Delta Pi,Thaw Abs. Parallax,Yale Abs. Parallax,Yale Abs. Parallax Error,Yale Tot. PM,Yale PM Position Angle,No. of Thaw Observations,Thaw Footnotes,Index Card Match Entry,Index Card Field Name,Index Card Mag.,Index Card RA,Index Card Dec,Index Card Equinox,Observations
10,1475.0,,Mu Geminorum,* mu. Gem,+22 1304,06 17 00.00,+22 34 00.00,06 16 54.5,+22 33 54,06 19 55.834,+22 32 33.5102,06 22 57.5,+22 30 49,3.2,2.88,1.64,Ma,M3   IIIab,30,8,,,18,5.3,0.125,153,68,,559,mu_Gemini,3.2,06 19 56.00,+22 32 27.0,1950,"['22124 k 19201016 _', '22224 g 19201021 _', '22268 g 19201023 _', '23160 g 19210227 _', '23326 k 19210316 _', '23344 4g 19210318 _', '25613 k 19211014 _', '25662 g 19211016 _', '25742 k 19211022 _', '26603 k 19220222 _', '26801 g 19220312 _', '26818 g 19220313 _', '28636 k 19221011 _', '28653 g 19221012 _', '28715 k 19221017 _', '29742 k 19230312 _', '29750 k 19230313 _', '31259 g 19231007 _', '31275 g 19231008 _', '32245 g 19240229 _', '32303 g 19240316 _', '33550 k 19241007 _', '33571 k 19241009 _', '34267 g 19250228 _', '34308 g 19250306 _', '35569 g 19251101 _', '35617 g 19251104 _', '36044 g 19260224 _', '36117 g 19260310 _', 'T_Monoc(var) 5.7-6.8 06 22 31 +07 06 53 1950', '28739 p 19221018 _', '28771 k 19221019 _', '28800 k 19221020 _', '28822 g 19221021 _', '29659 g 19230305 _', '29670 k 19230307 _', '29709 g 19230310 _', '31296 k 19231009 _', '31340 k 19231013 _', '31409 k 19231021 _', '32215 k 19240227 _', '32246 g 19240229 _', '32304 g 19240316 _', '33581 g 19241010 _', '33595 k 19241014 _', '33619 f 19241017 _', '34253 k 19250223 _', '34332 g 19250312 _', '34350 p 19250315 _', '35519 g 19251016 _', '36072 g 19260304 _', '36089 g 19260305 _', '36118 p 19260310 _', '36122 g 19260311 _', '37192 k 19261016 _', '37241 k 19261101 _', '37258 g 19261106 _', '37284 g 19261108 _', '37551 g 19270223 _', '37558 g 19270224 _', '37567 p 19270301 _', '38685 f 19271016 _', '38705 g 19271021 _', '38798 g 19271027 _', '38809 g 19271028 _', '39209 g 19280307 _', '40083 k 19281010 _', '40208 g 19281114 _']"
11,1567.0,A,Epsilon Geminorum,EPS Gem,+25 1406,06 38 00.00,+25 14 00.00,06 37 46.7,+25 13 48,06 40 51.363,+25 10 56.8621,06 43 55.9,+25 07 51,3.2,2.98,1.4,G5,G8   Ib,8,8,,,10,9.6,0.015,195,20,,593,epsilon_Gemini,3.2,06 40 51.00,+25 10 56.0,1950,"['43423 g 19310227 _', '45051 k 19311110 _', '45102 f 19311116 _', '45116 p 19311117 _', '45126 g 19311119 _', '45523 g 19320220 _', '47145 g 19321129 _', '47768 k 19330312 _', '49233 k 19331026 _', '49340 k 19331104 _', '49735 f 19340220 _', '49852 k 19340317 _', '51314 g 19341015 _', '55914 g 19371125 _', '56195 g 19380310 _', '57352 g 19381017 _', '59157 k 19391102 _', '66061 g 19431125 _', '76792 g 19500310 _', '78333 f 19501115 _']"
,1567.0,B,,,,,,06 37 48.0,+25 14 00,06 40 52.667,+25 11 08.7686,06 43 57.2,+25 08 04,,9.22,1.13,,K0   III-*,,,,,,,,,20,,593,epsilon_Gemini,3.2,06 40 51.00,+25 10 56.0,1950,"['43423 g 19310227 _', '45051 k 19311110 _', '45102 f 19311116 _', '45116 p 19311117 _', '45126 g 19311119 _', '45523 g 19320220 _', '47145 g 19321129 _', '47768 k 19330312 _', '49233 k 19331026 _', '49340 k 19331104 _', '49735 f 19340220 _', '49852 k 19340317 _', '51314 g 19341015 _', '55914 g 19371125 _', '56195 g 19380310 _', '57352 g 19381017 _', '59157 k 19391102 _', '66061 g 19431125 _', '76792 g 19500310 _', '78333 f 19501115 _']"
12,3066.0,,Alcor,80 UMa,+55 1603,13 21 00.00,+55 31 00.00,13 21 13.2,+55 30 31,13 23 12.884,+55 14 52.4046,13 25 13.5,+54 59 16,4,4.01,0.16,A5,A5   V,35,5,,,40,7.3,0.115,99,6,,1204,zeta_Ursa_Major,"2.4/4.2<14.""5",13 21 54,+55 11 09,1950,"['52043 ~ 19350521 _', '59670 ~ 19400505 _', '82320 3g 19530510 _', '84124 k 19540322 _', '84216 g 19540412 _', '89453 5g 19570506 _']"
13,3604.0,,Gamma Serpentis,GAM Ser,+16 2849,15 52 00.00,+15 59 00.00,15 51 49.9,+15 59 16,15 54 07.367,+15 50 28.4414,15 56 27.1,+15 39 41,3.9,3.85,0.48,F8,F6   V,53,9,,,86,4.7,1.322,167,54,,1468,gamma_Serpentis,4,15 54 08,+15 49 24,1950,"['12578 k 19180328 _', '12630 f 19180331 _', '12659 p 19180404 _', '13424 k 19180701 _', '13465 f 19180704 _', '13474 k 19180706 _', '13655 p 19180719 _', '15898 p 19190219 _', '15957 k 19190226 _', '15984 f 19190227 _', '16222 k 19190320 _', '17295 g 19190701 _', '17311 g 19190702 _', '17333 g 19190703 _', '19606 p 19200229 _', '19701 k 19200313 _', '19734 f 19200314 _', '20805 g 19200630 _', '20824 k 19200701 _', '20952 k 19200715 _', '23093 k 19210214 _', '23215 f 19210309 _', '23387 k 19210322 _', '29875 g 19230324 _', '29897 p 19230330 _', '29912 k 19230331 _', '29956 g 19230406 _', '30760 k 19230713 _', '30772 g 19230716 _', '30784 g 19230717 _', '32373 g 19240327 _', '32410 g 19240402 _', '32430 g 19240403 _', '32967 k 19240709 _', '33026 g 19240715 _', '34322 g 19250307 _', '34377 g 19250318 _', 'rho_Cor_Bor 5.6 15 59 07 +33 27 11 1950', '1540 ~ 19150316 -2', '1566 ~ 19150317 +2', '1585 ~ 19150320 -8', '2466 ~ 19150702 +11', '2480 ~ 19150703 +24', '2494 ~ 19150705 +15', '2529 ~ 19150708 +19', '2629 ~ 19150718 -3', '4973 ~ 19160330 +8', '5013 ~ 19160405 +8', '5908 ~ 19160705 +5', '5939 ~ 19160706 -4', '5967 ~ 19160707 -6', '8893 ~ 19170315 +5', '9093 k 19170408 +3', '9134 k 19170410 -5']"
14,3689.0,A,Sigma Coronae (prec),SIG CrB,+34 2750,16 11 00.00,+34 07 00.00,16 10 55.9,+34 06 41,16 12 49.344,+33 59 05.4448,16 14 40.7,+33 51 29,6.7,5.64,0.51,,G0   VCaI*,30,9,,,47,3.3,0.287,254,32,,1502,sigma_Coronae,"5.0/6.1<5""",16 12 48,+33 59 02,1950,"['52368 g 19350714 _', '52398 g 19350718 _', '53393 g 19360314 _', '53499 g 19360414 _', '53965 g 19360708 _', '54973 g 19370331 _', '55031 2g 19370419 _', '56428 g 19380425 _', '59565 g 19400326 _', '59393 g 19400713 _', '59934 2g 19400718 _', '61220 g 19410315 _', '61234 g 19410322 _', '61391 g 19410411 _', '61934 g 19410709 _', '61950 g 19410713 _', '63204 g 19420414 _', '63316 k 19420425 _', '64296 k 19430301 _', '64307 k 19430305 _', '66637 g 19440303 _', '67172 2g 19440630 _', '67179 g 19440701 _', '67194 g 19440702 _', '67205 g 19440703 _', '68446 g 19450314 _', '68462 g 19450315 _', '68534 g 19450324 _', '68565 g 19450326 _', '69067 g 19450703 _', '69096 g 19450707 _', '69108 g 19450711 _']"
,3689.0,B,,SIG CrB,,,,16 10 54.0,+34 07 00,16 12 47.439,+33 59 24.3213,16 14 38.8,+33 51 47,,6.59,--,,G1   V,,,,,,,0.29,252,32,,1502,sigma_Coronae,"5.0/6.1<5""",16 12 48,+33 59 02,1950,"['52368 g 19350714 _', '52398 g 19350718 _', '53393 g 19360314 _', '53499 g 19360414 _', '53965 g 19360708 _', '54973 g 19370331 _', '55031 2g 19370419 _', '56428 g 19380425 _', '59565 g 19400326 _', '59393 g 19400713 _', '59934 2g 19400718 _', '61220 g 19410315 _', '61234 g 19410322 _', '61391 g 19410411 _', '61934 g 19410709 _', '61950 g 19410713 _', '63204 g 19420414 _', '63316 k 19420425 _', '64296 k 19430301 _', '64307 k 19430305 _', '66637 g 19440303 _', '67172 2g 19440630 _', '67179 g 19440701 _', '67194 g 19440702 _', '67205 g 19440703 _', '68446 g 19450314 _', '68462 g 19450315 _', '68534 g 19450324 _', '68565 g 19450326 _', '69067 g 19450703 _', '69096 g 19450707 _', '69108 g 19450711 _']"
,3689.0,C,,G 180-042,,,,16 10 54.0,+34 07 00,16 12 47.439,+33 59 24.3213,16 14 38.4,+33 51 49,,12.31,1.4,,M3.5,,,,,,,0.34,258,32,,1502,sigma_Coronae,"5.0/6.1<5""",16 12 48,+33 59 02,1950,"['52368 g 19350714 _', '52398 g 19350718 _', '53393 g 19360314 _', '53499 g 19360414 _', '53965 g 19360708 _', '54973 g 19370331 _', '55031 2g 19370419 _', '56428 g 19380425 _', '59565 g 19400326 _', '59393 g 19400713 _', '59934 2g 19400718 _', '61220 g 19410315 _', '61234 g 19410322 _', '61391 g 19410411 _', '61934 g 19410709 _', '61950 g 19410713 _', '63204 g 19420414 _', '63316 k 19420425 _', '64296 k 19430301 _', '64307 k 19430305 _', '66637 g 19440303 _', '67172 2g 19440630 _', '67179 g 19440701 _', '67194 g 19440702 _', '67205 g 19440703 _', '68446 g 19450314 _', '68462 g 19450315 _', '68534 g 19450324 _', '68565 g 19450326 _', '69067 g 19450703 _', '69096 g 19450707 _', '69108 g 19450711 _']"
15,,,Sigma  Coronae (fol),,,,,,,0,0,,,5.8,--,--,,--,52,10,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,Mean,,,,,,,0,0,,,,--,--,F5,--,42,7,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3718.0,,Gamma Herculis,GAM Her,+19 3086,16 18 00.00,+19 23 00.00,16 17 30.4,+19 23 16,16 19 42.886,+19 16 06.873,16 21 55.2,+19 09 11,3.8,3.75,0.27,Fo,A9   III,12,8,,,19,12.5,0.062,311,1,,1515,gamma_Herc,"3.8/9.0<40""",16 19 42,+19 16 09,1950,['108327 ~ 19760612 _']
17,3755.0,M,Lambda Ophiuchi,LAM Oph,+2 3118,16 26 00.00,+2 12 00.00,16 25 52.1,+02 12 10,16 28 23.466,02 05 34.8358,16 30 54.8,+01 59 02,3.9,3.82,0.01,A,"A1+A4V,V",-10,8,,,21,1.9,0.09,206,31,,1536,lambda_Ophiuchi,"4.0/6.0<0.5""",16 28 23,+02 05 30,1950,"['108817 k 19770325 _', '108845 g 19770409 _', '108846 g 19770409 _', '108947 w 19770521 _', '108966 k 19770527 _', '108967 k 19770527 _', '108997 f 19770621 _', '109023 ~ 19770629 fog', '109025 g 19770702 _', '109026 g 19770702 _', '109342 k 19780414 _', '109373 f 19780427 _', '109394 k 19780502 _', '109395 g 19780502 _', '109427 g 19780531 _', '109428 g 19780531 _', '109435 f 19780605 _', '109444 k 19780609 _', '109854 ~ 19790507 fuzzy', '109878 f 19790517 _', '110081 f 19800503 _', '110096 k 19800508 _', '110111 ~ 19800515 _', '110112 k 19800515 _', '110146 f 19800612 _', '110147 f 19800612 _', '110148 g 19800612 _', '110167 k 19800618 _', '110168 g 19800618 _', '110546 ~ 19810521 fog', '110547 ~ 19810521 fog']"
18,3761.0,,29 Herculis,29 Her,+11 3008,16 28 00.00,+11 42 00.00,16 27 55.4,+11 42 09,16 30 16.361,+11 35 41.7621,16 32 36.3,+11 29 16,4.9,4.84,1.49,K5,K7   III,-17,5,,,9,2.1,0.198,247,33,,1541,29_Herculis,4.9,16 30 15,+11 35 38,1950,"['46337 g 19320719 _', '46346 k 19320723 _', '46362 g 19320724 _', '47859 g 19330410 _', '47880 g 19330413 _', '47909 g 19330418 _', '48405 g 19330705 _', '48551 k 19330723 _', '49914 k 19340329 _', '49957 g 19340402 _', '49975 k 19340403 _', '50619 g 19340704 _', '50629 g 19340706 _', '50739 g 19340721 _', '51774 g 19350322 _', '51823 k 19350329 _', '51869 g 19350418 _', '52378 p 19350715 _', '52381 g 19350716 _', '52414 g 19350722 _', '53500 g 19360414 _', '53570 k 19360501 _', '53945 p 19360706 _', '53966 k 19360708 _', '54967 g 19370330 _', '55062 g 19370429 _', '56253 g 19380321 _', '56277 g 19380322 _', '56855 k 19380709 _', '57892 k 19390504 _', '58204 g 19390702 _', '58278 g 19390714 _', '58292 g 19390716 _']"
19,3860.0,,19 Draconis,19 Dra,+65 1157,16 55 00.00,+65 17 00.00,16 55 28.6,+65 17 14,16 55 43.002,+65 12 36.0102,16 56 01.6,+65 08 05,4.8,4.89,0.48,F5,F6   V,82,8,,,54,5.1,0.229,77,48,,1594,19_Draconis,5,16 55 44,+65 12 39,1950,"['79180 w 19510703 _', '79221 g 19510706 _', '79268 g 19510715 _', '79320 k 19510724 pi_br', '80500 p 19520325 _', '80569 k 19520409 _', '80623 g 19520417 _', '81050 k 19520628 _', '81093 k 19520707 *', '82271 k 19530419 _', '82327 g 19530511 _', '82507 f 19530623 off_cent', '82522 g 19530703 _', '82542 4g 19530705 _', '82552 4g 19530707 _', '82594 g 19530723 _', '82601 g 19530724 _', '84132 g 19540322 *', '84243 g 19540420 _', '84266 g 19540513 _', '84274 2g 19540523 _', '84315 g 19540531 _', '84399 2f 19540623 _', '84473 g 19540702 _', '84498 g 19540715 _', '85656 f 19550323 _', '85821 g 19550404 _', '85854 g 19550410 _', '85970 k 19550506 _', '86178 g 19550626 _', '86249 g 19550704 *', '86288 g 19550712 _', '86313 g 19550713 _', '86350 g 19550719 _', '87606 g 19560327 fog', '87626 g 19560401 _', '87631 4g 19560405 _', '87692 k 19560414 _', '88053 g 19560706 _', '88116 k 19560718 fog', '88135 k 19560719 *', '88137 g 19560720 _', '89347 g 19570415 _', '89488 g 19570509 _', '89718 g 19570707 _', '89839 g 19570801 _', '90618 g 19580522 _', '90726 g 19580715 _']"
20,3877.0,,Lalande 31132,CI 18-2277,+47 2419,17 00 00.00,+47 12 00.00,16 59 47.0,+47 11 57,17 01 11.010,+47 07 39.6101,17 02 36.3,+47 04 55,6.5,6.77,0.73,,G8   V,61,11,,,62,6.0,0.874,8,20,,1606,Lal_31132,6.5,17 01 12,+47 08 23,1950,"['1744 f 19150407 +23', '1825 f 19150414 -4', '1842 f 19150415 +9', '2680 p 19150722 do_not_measure', '2708 p 19150725 -4', '2706 g 19150709 +23', '5021 f 19160405 +19', '5040 f 19160406 +6', '5085 f 19160410 +9', '5116 f 19160414 0', '6076 k 19160719 +5', '6098 k 19160720 +15', '6192 p 19160727 +11,do_not_measure', '6220 p 19160728 +7,do_not_measure', '6261 k 19160801 +12', '9100 f 19170408 +9', '9120 k 19170409 +4', '9180 k 19170415 -2', '9815 f 19170717 -1', '9838 k 19170719 -3']"
21,3921.0,,Pi Herculis,PI Her,+36 2844,17 12 00.00,+36 55 00.00,17 11 33.7,+36 55 18,17 13 18.283,36 51 51.4517,17 15 02.8,+36 48 33,3.4,3.16,1.44,K2,K3   IIab,12,8,,,23,9.6,0.03,274,23,,1631,pi_Herculis,3.4,17 13 18,+36 51 51,1950,"['82466 p 19530615 *', '84515 p,k 19540716 *', '84791 2k 19550401 *', '87716 2k 19560421 *', '88072 k 19560707 _', '88085 p 19560710 _', '89326 k 19570331 _', '89464 g 19570507 _', '90519-0 2k 19580415 _', '90605-6 3f 19580517 _', '91673-4 3k,2f 19590703 _', '91745-6 k 19590727 _', '93565-6 f 19610514 _', '93779-0 k 19610716 _', '93785-6 k,f 19610718 _', '98575-6 2k 19650423 _', '98827-8 k,f 19650725 _', '99576 k 19660417 _', '99701 f 19660524 _', '100774 k 19670501 off_cent', '104854 g 19710712 _', '105609 g 19720418 _', '108169 k 19760404 _']"
22,3943.0,,Lalande 31546,,+1 3421,17 16 00.00,+1 32 00.00,17 16 04.1,+01 32 08,17 18 36.038,+01 29 02.4753,17 21 07.0,+01 26 34,6.9,6.95,0.6,,F9   V,39,9,,,26,3.9,0.311,329,38,,1644,Lal_31546,7,17 18 36,+01 29 16,1950,"['60105 g 19400805 _', '60180 k 19400814 _', '61323 g 19410403 _', '61333 g 19410407 _', '61573 g 19410505 _', '62017 k 19410725 _', '62041 g 19410726 _', '62106 g 19410804 _', '63303 g 19420424 _', '63523 g 19420721 _', '63528 g 19420725 _', '63544 k 19420804 _', '64493 g 19430405 _', '64574 g 19430418 _', '64604 ~ 19430425 no_pi', '64620 g 19430427 _', '65036 g 19430719 _', '65122 g 19430731 _', '65151 g 19430802 _', '66790 k 19440414 _', '66861 k 19440428 _', '66942 2k 19440514 _', '67338 2g 19440727 _', '68679 2g 19450408 _', '68710 g 19450410 _', '68738 g 19450412 _', '68745 p 19450418 pi_wk', '68764 g 19450419 _', '69215 g 19450808 _', '70284 2f 19460403 _', '70441 g 19460430 _', '70447 f 19460501 _', '70505 k 19460513 _', '70863 g 19460718 _', '70909 g 19460729 _', '72111 k 19470513 _', '72404 g 19470720 _', '72457 g 19470731 _']"
23,3946.0,,72 Herculis,72 Her,+32 2696,17 17 00.00,+32 36 00.00,17 16 54.9,+32 35 46,17 18 46.599,+32 32 42.6734,17 20 39.5,+32 28 03,5.4,5.39,0.62,G,G0   V,1,9,,,73,5.6,1.05,173,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
